keywords,description,prop,url,destination
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Banswara, also known as the &quot;City of hundred island&quot; is a famous tourist destination. Dialab Lake, Anand Sagar Lake, Paraheada Shiva Temple are just a few of the places visited by tourists.",	Banswara Tourism: Tourist places in Banswara - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Bharatpur, a bird watcher’s paradise, is known for Keoladeo Ghana National Park &amp; Band Baretha wildlife reserve. Ganga Temple, Bharatpur Museum &amp; Deeg Palace are few other preferred locations of tourists visiting Bharatpur.",Bharatpur Tourism: Places to Visit in Bharatpur - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Baran is the land of picturesque wooded hills and valleys. The city is known for its Ram- Sita temples, serene picnic spots and vibrant tribal fairs and festivals.",Baran Tourism: Places to visit in Baran - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Visit Alwar to experience centuries old palaces, forts, gardens and the Sariska Tiger Reserve. Alwar is one of the oldest Rajasthani kingdoms and also one of the most popular tourist destinations in Rajasthan India.",Alwar Tourism: Places to Visit in Alwar - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Rajasthan Tourism website is state government's official portal providing information on most of the tourist destinations in Rajasthan, India.","Welcome to Rajasthan - Official Website of Department of Tourism, Government of Rajasthan","<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Bhilwara, ‘City of textiles and looms’ is a famous industrial town in Rajasthan. Menal Waterfall, Pur Udan Chatri, Kyara ke Balaji and Harni Mahadev temple are few tourist attractions of the city.",Bhilwara Tourism: Tourist Places to visit in Bhilwara - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Ajmer, surrounded by Aravalli Hills is a famous tourist destination. Ajmer Sharif Dargah and Taragarh Fort are must visit places. Visit Ajmer to see what makes it so popular for people of all faiths and religions.",Ajmer Tourism: Places to Visit in Ajmer - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Barmer, India&#39;s fifth largest district was known as Mallani in 12th century. Mallinath Cattle festival, Barmer fort, Kiradu temples, Devka-Sun temple are some major tourist attractions to visit.",Barmer Tourism: Places to visit in Barmer - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Bikaner, also know as the camel country, is famous for its Junagarh fort, Karni Mata temple and camel festival. Visit Bikaner and revel yourself in the Rajasthani culture, handicraft and leather craft.",Bikaner Tourism: Places to Visit in Bikaner - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Chittorgarh is known for its magnificent forts, temples, towers and palaces. Chittorgarh Fort, Padmini&#39;s Palace, Kirti Stambh are a few tourists attractions to visit.",Chittorghar Tourism: Places to Visit in Chittorghar - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Jaisalmer, the Golden City, is known for its ravishing havelis, splendid temples &amp; vibrant bazaars. Jaisalmer Fort (Sonar Qila) and Sam Sand Dunes (Desert Safari Camps) are the prime tourist attractions."" /><meta id=""keywords"" name=""keywords"" content=""jaisalmer city, jaisalmer india, jaisalmer places, jaisalmer places to visit, jaisalmer rajasthan, jaisalmer attractions, jaisalmer tourist places, golden city, jaisalmer fort, sam san dunes, desert safari, camel rides
",Jaisalmer Tourism: Places to Visit in Jaisalmer - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","The city of Dungarpur, situated in the foothills of the Aravalli hills, is famed for its scenic and natural beauty. Juna Palace, Udai Bilas Palace &amp; Baneshwar Fair are prime tourist attractions.",Dungarpur Tourism: Tourist Places in Dungarpur - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india",Dholpur,Dholpur,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Jaipur City is a major tourist destination in Rajasthan India. Hawa Mahal &amp; Jal Mahal are the most popular attractions amongst other forts and palaces. Visit Jaipur to immerse yourself in its rich royal heritage!"" /><meta id=""keywords"" name=""keywords"" content=""jaipur city, jaipur forts, jaipur places, jaipur places to visit, jaipur rajasthan, pink city, jaipur attractions, pink city, hawa Mahal, jal mahal
",Jaipur Tourism: Places to Visit in Jaipur - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Bundi is well known for its ornate architectural style forts, palaces, and stepwell reservoirs known as baoris. Taragarh Fort is the prime tourist attraction in the city.",Bundi Tourism: Places to Visit in Bundi - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Dausa is a small ancient town named after a Sanskrit word Dhau-sa meaning Beautiful like Heaven. Also referred as Deva Nagri, located around 55 km from Jaipur, on National Highway 11.",Dausa Tourism: Places to Visit in Dousa - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Hanumangarh is a city best known for its temples and its historical significance. Primary tourist attractions of Hanumangarh is the Bhatner fort, Kalibangan &amp; Mata Bhadrakali temple.",Hanumangarh Tourism: Place to Visit in Hanumangarh - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Jalore is famous for numerous quarries, producing some of the finest granite in the world. The ‘tope khana’ or cannon foundry at Jalore Fort is the foremost tourist attraction of Jalore.
",Jalore (Jalor) Tourism: Places to visit in Jalore - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Jhalawar is known for vibrant flora and fauna, forts, thick forests, exotic wild life. Jhalawar fort (Garh Palace), Museum, and Bhawani Natyashala are top attraction choices of tourist visiting Jhalawar."" /><meta id=""keywords"" name=""keywords"" content=""jhalawar citi, jhalawar india, jhalawar places, jhalawar places to visit, jhalawar rajasthan, jhalawar attractions, jhalawar tourist places, jhalawar fort
",Jhalawar Tourism: Tourist Places in Jhalawar - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Jodhpur, also know as the Gateway of Thar Desert, is a very popular tourist destination. The majestic Mehrangarh Fort, elegant Umaid Bhawan Palace, vibrant festivals like Marwar Festival, Gangaur &amp; Teej are some of the reasons to visit Jodhpur Rajasthan.",Jodhpur Tourism: Places to Visit in Jodhpur - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india",Karauli,Karauli,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Kota is a famous tourist destination with historical forts and palaces. Visit Kota for Garh Palace, Jagmandir, Dussehra Festival, Kota Handicraft &amp; Kota Industrial Fairs.",Kota Tourism: Tourist Places in Kota - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Mount Abu is a perfect tourist place to enjoy an adventure trip and eco-tourism. Mount Abu most visited places are Dilwara temple, Nakki lake, Guru Sikhar, Toad rock etc.","Mount Abu: Tourist Places to Visit, Tour Packages & Sightseeing - Rajasthan Tourism","<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india",Nagaur birthplace of Saint Poetess Meera Bai and Abul Fazal.,Nagaur City,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Pali has been an important part of Rajasthan from centuries and a hub for merchant activities. Ranakpur Jain temple, Parshuram Mahadev &amp; NimbokaNath temples are must visit tourist locations in the city. 
",Pali Tourism: Places to visit in Pali - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Pushkar is known around the world for its Pushkar Camel Fair. Apart from the camel fair there are many tourist attractions like Brahma temple, Pushkar Lake and other popular temples to explore.",Pushkar Tourism: Tourist Places in Pushkar - Rajasthan Tourism,"<a href=""http://www.tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Rajasthan Tourism website is state government's official portal providing information on most of the tourist destinations in Rajasthan, India.","Welcome to Rajasthan - Official Website of Department of Tourism, Government of Rajasthan","<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Sawai Madhopur, also known as the  &#39;Gateway to Ranthambore&#39;, is surrounded by Vindhyas &amp; Aravalis. Sawai Madhopur is a treat for adventurers as well as tourists interested in exploring rich India history.",Sawai Madhopur Tourism: Places to Visit in Sawai Madhopur - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Shekhawati is laced with innumerable beautiful havelis with murals and wall paintings.  Sethani Ka Johara, Tal Chhapar Sanctuary, Ramgarh are some tourists attractions.",Shekhawati Tourism: Places to visit in Shekhawati - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","sriganganagar, sri ganganagar, ganganagar tourism, ganganagar tourist places",Sri Ganganagar Tourism: Tourist Places to visit in Ganganagar- Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india",Tonk,Tonk,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Udaipur, often called the &quot;Venice of the East&quot;. City Palace, Lake Palace, Jag Mandir, Fateh Sagar lake &amp; Shilpgram are top tourist destinations in Udaipur. Mewar Festival is also especially popular among the tourists."" /><meta id=""keywords"" name=""keywords"" content=""udaipur citi, udaipur india, udaipur places, udaipur places to visit, udaipur rajasthan, udaipur attractions, udaipur tourist places, city of lakes, venice of the east, udaipur palace, fateh sagar lake
",Udaipur Tourism: Places to Visit in Udaipur - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
